1;NASCAR Toyota Camry Sprint Cup car
2;NASCAR Ford Fusion Sprint Cup car
3;"NASCAR Chevrolet SS Sprint Cup car
"
4;NASCAR Chevrolet Camaro Xfinity car
5;NASCAR Toyota Camry Xfinity car
6;NASCAR Ford Mustang Xfinity car
7;Chevy Silverado Camping World Truck
8;Toyota Tundra Camping World Truck
9;NASCAR K&N Pro Car
10;Super Late Model
11;Chevrolet Monte Carlo SS Late Model
12;NASCAR Whelen Modified Tour Car
13;SK Modified Car
14;JR Motorsports Street Stock
15;Legends Ford 1934 Coupe
16;Chevy Impala SS Sprint Cup car (circa 2013)
17;Chevy Impala SS Xfinity car (circa 2011)
18;Chevrolet Silverado NASCAR Truck (circa 2013)
19;McLaren MP4-30
20;Williams FW31
21;Dallara DW12 Indycar
22;Dallara Indycar (circa 2011)
23;Lotus 49
24;Lotus 79
25;Formula Mazda
26;Formula Renault 2.0
27;Skip Barber Formula 2000
28;C&R Racing Silver Crown
29;Sprint Car
30;Chevrolet Corvette C7 Daytona Prototype
31;Riley MKXX Daytona Prototype
32;SCCA Spec Racer Ford
33;HPD ARX-01c
34;Radical SR8
35;Audi R8 LMS GT3
36;Mercedes-AMG GT3
37;BMW Z4 GT3
38;McLaren MP4-12C GT3
39;Ruf RT12-R GT3
40;Ford GT3
41;Aston Martin DBR9 GT1
42;Chevrolet Corvette C6.R GT1
43;Holden Commodore V8
44;Ford Falcon FG V8
45;Ford Falcon V8 (circa 2012)
46;Kia Optima GTS
47;Mazda MX-5 Cup
48;Ford Mustang FR500S
49;Pontiac Solstice ClubSport
50;Volkswagen Jetta TDI
51;Cadillac CTS-V
