1;iRacing Advanced Legends
2;iRacing Street Stock
3;NASCAR iRacing Late Model Series
4;NASCAR iRacing National Series
5;NASCAR iRacing SK Modified Series
6;INDYCAR Series
7;iRacing Street Stock Class C
8;NASCAR iRacing Super Late Model Series
9;NASCAR iRacing Class C Series
10;NASCAR iRacing Tour Modified Series
11;iRacing Silver Crown Cup
12;iRacing Sprint Car Cup
13;NASCAR iRacing Class B Series
14;NASCAR iRacing Class A Series
15;NASCAR iRacing Class A Series Fixed
16;Global Mazda MX-5 Cup
17;iRacing Production Car Challenge
18;Cadillac Cup
19;iRacing Grand Touring Cup
20;iRacing Spec Racer Ford Challenge
21;Kia Cup
22;Ruf GT3 Challenge
23;Skip Barber Race Series
24;Advanced Mazda MX-5 Cup Series
25;Grand Prix Legends
26;Verizon INDYCAR Series
27;iRacing Formula Renault 2.0 Championship
28;iRacing V8 Supercars Series
29;Radical Racing Challenge
30;Ruf Cup
31;Star Mazda Championship
32;Blancpain Sprint Series
33;iRacing Classic Lotus Grand Prix
34;IMSA Sportcar Championship
35;iRacing Grand Prix Series
36;Carburetor Cup
37;Dallara Dash
38;PickUp Cup
39;Industriefahrten Fun
